Country,Year,Tech Sector,Market Share (%),R&D Investment (in USD),Number of Patents Filed (Annual),Number of Tech Companies,Tech Exports (in USD),Number of Startups,Venture Capital Funding (in USD),Global Innovation Ranking,Internet Penetration (%),5G Network Coverage (%),University Research Collaborations,Top Tech Products Exported,Number of Tech Workers
China,2001,Software,22.279014334236912,83772077458.65811,1415,878,35031547672.63716,166,45026942420.593895,11,57.08867344194831,82.24027194914746,50,Robots,621221
Japan,2011,Semiconductor,31.899012511314822,35511335904.68057,7899,364,37142090222.44363,217,11473812658.527058,14,78.17209002183077,48.552981754450514,134,5G Equipment,431928
Japan,2009,Robotics,33.57446551835113,84809484675.52368,3749,425,157040631146.3673,451,5498885373.494627,14,55.81066801962929,66.49528565652028,58,Semiconductors,55776
Japan,2019,Cloud Computing,24.904248426471963,22678211745.4089,3841,62,103128355994.50598,264,21862782399.60254,10,78.55371373001984,28.807250946104332,150,Robots,267852
China,2002,Robotics,46.97582741249481,34536550748.367386,1704,458,111205589579.85188,463,40982820657.032234,10,70.42754839910342,38.74626779358276,74,AI Chips,654162
China,2022,Semiconductor,12.741989875212187,40293285923.889465,186,792,1686877298.602556,247,33802354648.233795,6,94.04004296178967,21.801070515522063,24,Robots,437676
China,2022,Cloud Computing,20.476168305941982,48234527651.00211,4313,1738,101162305420.05995,123,33231019712.751797,17,41.65559516912665,88.2145601323075,17,5G Equipment,225028
China,2006,Robotics,22.58588124595069,21770509710.751858,8170,1437,87883217246.21767,131,18334921659.302887,19,60.01318024073312,65.57397443528521,112,AI Chips,146593
China,2011,AI,12.751685720778918,11799355715.140034,7535,1879,130895494093.62485,269,2719328018.939409,19,86.144043545503,17.922372918860667,95,Robots,914680
Japan,2002,Biotechnology,37.2179507723847,9792535308.13691,3198,601,16010662731.79506,46,22192095169.84312,14,66.94450880849558,45.175812653019634,132,Cloud Servers,382884
Japan,2009,Semiconductor,23.965483002941742,34203380519.09034,4363,631,65811133849.16994,44,49482776844.621605,17,67.01385613707727,76.81658536191308,32,Robots,626542
Japan,2022,Software,26.57994066196293,48991069441.24502,3152,670,14607062293.46841,487,30574177780.591816,10,47.101337301874516,85.15509782888368,14,5G Equipment,743829
Japan,2021,Software,11.94019029997477,44332499122.81261,819,518,46745427148.32421,394,45682107860.268364,10,73.80508981566507,23.96401226522224,119,Semiconductors,260824
Japan,2006,Cloud Computing,44.62292587897001,17734997127.958755,5293,1295,20130581615.099934,117,25655437064.33541,5,99.93522831202887,73.13913723099527,142,AI Chips,107643
Japan,2016,Telecommunications,12.739519095807168,69336991755.44482,5659,799,68247038930.733284,464,2569057388.8431883,14,74.14381403009669,87.49860200063938,155,Semiconductors,144404
Japan,2011,Biotechnology,45.24191073946206,8998002772.229149,5966,229,150376779749.234,192,17217555859.428986,6,88.20043819427971,83.73502923639784,54,Semiconductors,500568
Japan,2021,Robotics,33.69986645802851,2895751888.1003265,1057,549,140170253806.39835,256,20345835410.456497,2,74.54020418048293,41.96265009253098,150,Cloud Servers,303333
Japan,2011,Cloud Computing,8.05968234289177,79518780685.88985,9492,1379,126357912594.16533,442,13503995096.382881,3,90.22376958109899,28.866165438058804,78,Robots,657941
Japan,2002,Cloud Computing,17.063188635548013,45906385442.61068,6107,1725,55671166854.31691,125,49631178511.90718,13,90.98797650165581,75.01725747387019,5,Semiconductors,90082
China,2009,Software,5.513992669502256,69169742827.41035,5803,1149,65387415433.26283,124,7825700555.659724,13,98.57828370844304,73.18684451051658,112,Semiconductors,902884
Japan,2010,Semiconductor,35.32854571123242,57080851460.18762,7901,1305,152303285998.04147,287,42099596478.41184,15,77.45312193087162,63.68683144542935,64,Semiconductors,524229
Japan,2019,AI,40.34303959277421,90285496363.25064,6755,1706,105722393076.59253,320,3140891839.2952876,10,66.60854394111284,48.562017301508476,103,Cloud Servers,357355
Japan,2008,Cloud Computing,12.913624933033038,18831203317.01704,124,1529,1072722897.5985934,453,20088305875.573673,13,54.99476237285492,36.55311028796122,12,AI Chips,554324
China,2020,Cloud Computing,14.093652788805095,24435813242.281227,3434,1870,163071991358.39633,439,37172788248.40567,1,92.18210298950814,82.1198858829332,40,AI Chips,247804
Japan,2004,Semiconductor,27.492968886104908,30826393071.28362,1851,1819,112540144820.29285,321,24599463583.282383,1,93.43691768689324,23.720843610602458,46,5G Equipment,144794
China,2000,Semiconductor,20.643542748163732,64429838703.98434,3716,258,97469038681.06435,278,21224465614.732006,13,94.99019495981983,61.30437892791758,2,AI Chips,710891
Japan,2009,Cloud Computing,14.951085577400828,49289583639.74575,1125,1372,172265320908.89807,55,17695603900.43292,1,63.946993734210395,52.840932712665904,9,Semiconductors,48377
Japan,2002,AI,29.46855219295732,90858201313.011,2697,499,102946666585.2878,78,37611367308.427124,4,46.6850315741447,70.80419041016955,155,5G Equipment,148705
Japan,2010,Cloud Computing,12.838462958338354,64950895318.217606,8171,509,3359802718.1845803,62,15619821687.282913,16,70.95493296028862,66.7074953686037,181,AI Chips,549937
China,2013,Telecommunications,44.903317707291464,30306106311.420185,403,509,61818414295.84484,493,14724860880.184954,13,74.95213027678724,52.67349221885824,92,Cloud Servers,142474
China,2007,Software,25.146782984983457,48549799931.24667,535,1961,66449493110.649414,229,29227030428.493587,11,87.25353405675104,25.72235366829802,33,5G Equipment,821702
China,2005,Robotics,42.699531068411396,45835861733.41654,9073,906,85894437246.68787,388,48886848312.677025,14,59.71644317526831,35.84104266869418,26,AI Chips,416491
China,2021,Software,9.769367333199245,74140277329.78584,3329,850,99744065541.3907,296,9150345275.747839,16,81.07501593217484,33.24200130998533,145,Cloud Servers,276696
China,2012,Semiconductor,34.1983886930425,70303948488.9742,1501,1601,146522558743.88245,407,7562468110.645882,11,86.12395748448336,69.70492865365799,7,Cloud Servers,877994
Japan,2004,Telecommunications,36.10890512021106,32873795962.813343,122,1005,155257973246.4612,117,25257447833.18333,1,72.1066100021237,12.50782647954713,20,Semiconductors,169730
China,2015,Semiconductor,36.60372241980747,65619746637.1935,5972,1183,82742954652.33304,161,33165040495.30114,7,46.984765830570616,63.73636689497191,58,AI Chips,690949
Japan,2019,Biotechnology,29.707183726980755,72598334395.14874,2714,1290,8902480190.776371,441,21611329725.117214,13,47.10018151761895,86.01566232937456,90,Cloud Servers,386910
Japan,2003,Cloud Computing,18.722752264803407,11497533699.804665,4134,524,75085181386.92719,474,8002573883.977249,19,65.46981481783665,86.10861618675582,163,Robots,822998
Japan,2006,AI,39.31932318388415,59603129565.117676,9181,123,103916408959.34055,344,25231633798.094257,5,68.26383005095549,72.79372854311845,108,Cloud Servers,869769
China,2003,Semiconductor,9.42933032706423,59173431502.207466,7757,1536,39529717891.803246,207,9347598899.310316,12,87.60443881502093,12.715341039437638,147,5G Equipment,719896
China,2001,Robotics,7.638438761050438,36307185003.97341,3194,689,178756226171.9439,163,26150521520.37462,13,54.168328704944756,23.904724500648697,53,Robots,669522
Japan,2012,Cloud Computing,23.839034550254624,85320452961.13301,9989,111,147545137460.23218,291,49799933770.81547,19,45.60990994402246,62.36346850240042,85,Cloud Servers,657459
Japan,2022,Software,29.63849487966969,4949780849.014568,1383,453,82064310967.3537,72,48087934330.44547,6,61.54927728770486,28.012166921641388,90,Semiconductors,44275
Japan,2006,Biotechnology,18.06332846023816,25003850606.676376,6429,595,23375834435.512596,441,12159320720.19444,16,52.77011991473005,50.32772139922248,50,5G Equipment,256911
China,2022,Cloud Computing,33.12294319781152,12191929905.436186,6374,1214,37817035313.77561,378,30575642482.600506,6,56.23800825392,38.40821386444708,136,AI Chips,403767
Japan,2008,Biotechnology,9.643383053407565,23070612281.676117,6031,323,163601875116.66907,272,896470944.3612742,9,46.63709050755513,18.6363440942226,148,Robots,329750
